Period (Sort),Demographic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total population,,,,,,,,,,,Annual growth rate,Migration,,,,,,,,Vital statistics,,,Population density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,By gender,,,By age group,,,,,,,,%,Non-resident workers (Figures at end of period),,,,,,,New arrivals from Chinese mainland with one-way permit,Crude birth rate,Crude mortality rate,Rate of natural increase,'000/km²,Macao Peninsula a,Taipa a,Coloane a,,,,,,,,,,,,,,,,,,,,,,,,,,,
,'000,Male,Female,'000,Below Age 15,Age 15-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65 and above,,No.,Country/Territory,,,Industry,,,No.,o/oo,o/oo,o/oo,,'000/km²,'000/km²,'000/km²,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,'000,'000,,'000,'000,'000,'000,'000,'000,'000,,,Chinese mainland,Philippines,Vietnam,Construction,"Hotels, Restaurants & Similar Activities","Recreational, Cultural, Gaming & Other Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,No.,No.,No.,No.,No.,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,607.5,295.2,312.3,607.5,68.8,84.3,124.9,97.3,105.7,77.8,48.7,4.3,"137,838","87,103","18,847","12,301","26,219","38,943","12,943","3,338",11.1,3.2,7.9,19.5,53.4,11.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,636.2,314.0,322.2,636.2,72.6,78.9,135.5,103.4,110.3,81.9,53.6,4.6,"170,346","110,670","21,549","13,533","45,753","42,622","13,863","5,889",11.8,3.1,8.7,20.5,54.9,12.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,646.8,317.0,329.8,646.8,76.9,76.5,138.0,103.4,108.9,85.0,58.1,1.6,"181,646","116,383","24,728","14,727","43,480","48,099","13,933","8,468",11.0,3.1,7.9,21.1,55.9,13.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,644.9,305.5,339.4,644.9,80.4,73.8,133.6,100.8,105.0,87.9,63.4,-0.3,"177,638","113,417","26,700","14,807","34,612","49,989","13,338","6,327",11.0,3.4,7.5,21.4,56.1,13.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,653.1,307.0,346.1,653.1,84.5,75.4,129.9,102.1,101.6,92.1,67.5,1.3,"179,456","113,208","28,688","14,920","30,174","51,169","13,815","4,206",10.1,3.3,6.8,21.1,55.6,12.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,667.4,312.8,354.6,667.4,88.7,76.4,131.3,104.9,100.0,94.8,71.3,2.2,"188,480","117,869","31,545","15,119","30,128","53,063","14,830","3,532",9.0,3.1,5.9,20.0,56.3,13.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,679.6,317.4,362.2,679.6,92.3,77.4,130.8,110.9,98.6,94.5,75.1,1.8,"196,538","122,357","33,781","14,804","29,387","54,748","15,807","3,757",8.9,3.4,5.5,20.4,57.1,13.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,683.1,319.8,363.3,683.1,96.3,73.5,127.9,113.4,97.1,95.2,79.7,0.5,"177,663","112,217","31,228","12,491","26,984","44,555","13,957","2,973",8.1,3.3,4.8,20.8,57.9,14.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,683.2,321.0,362.2,683.2,99.4,70.8,124.7,114.6,96.5,94.0,83.2,0#,"171,098","115,498","27,695","10,147","30,362","42,273","11,401","2,627",7.4,3.4,4.0,20.7,57.4,14.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,672.8,315.1,357.7,672.8,94.7,70.6,114.9,117.3,94.0,91.9,89.4,-1.5,"154,912","108,309","24,278","7,523","29,297","36,992","8,547","2,303",6.4,4.4,2.0,20.3,56.6,14.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,683.7,318.9,364.8,683.7,90.1,72.6,114.2,126.3,94.4,90.5,95.6,1.6,"176,661","121,034","28,795","7,790","30,209","49,387","9,954","3,417",5.5,4.4,1.1,20.4,56.4,14.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,688.3,318.7,369.6,688.3,85.9,73.2,107.8,131.9,97.4,91.9,100.2,0.7,"182,542","121,163","30,912","8,261","25,641","53,948","11,372","3,677",5.3,3.6,1.6,20.6,57.0,14.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a The calculation of population density by district does not include the land area of the Cotai reclamation zone, the Macao Port Administration Area on the artificial island of the Hong Kong-Zhuhai-Macao Bridge Zhuhai-Macao border crossing facilities, Zone A and C of the New District.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~ No figure provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0# Magnitude less than half of the unit employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
